        Date/Time      Lat      Lon    Base
0   4/1/2014 0:11:00  40.7690 -73.9549  B02512
1   4/1/2014 0:17:00  40.7267 -74.0345  B02512
2   4/1/2014 0:21:00  40.7316 -73.9873  B02512
3   4/1/2014 0:28:00  40.7588 -73.9776  B02512
4   4/1/2014 0:33:00  40.7594 -73.9722  B02512
5   4/1/2014 0:33:00  40.7383 -74.0403  B02512
6   4/1/2014 0:39:00  40.7223 -73.9887  B02512
7   4/1/2014 0:45:00  40.7620 -73.9790  B02512
8   4/1/2014 0:55:00  40.7524 -73.9960  B02512
9   4/1/2014 1:01:00  40.7575 -73.9846  B02512
10  4/1/2014 1:19:00  40.7256 -73.9869  B02512
11  4/1/2014 1:48:00  40.7591 -73.9684  B02512
12  4/1/2014 1:49:00  40.7271 -73.9803  B02512
13  4/1/2014 2:11:00  40.6463 -73.7896  B02512
14  4/1/2014 2:25:00  40.7564 -73.9167  B02512
15  4/1/2014 2:31:00  40.7666 -73.9531  B02512
16  4/1/2014 2:43:00  40.7580 -73.9761  B02512
17  4/1/2014 3:22:00  40.7238 -73.9821  B02512
18  4/1/2014 3:35:00  40.7531 -74.0039  B02512
19  4/1/2014 3:35:00  40.7389 -74.0393  B02512
20  4/1/2014 3:41:00  40.7619 -73.9715  B02512
21  4/1/2014 4:11:00  40.7530 -74.0042  B02512
22  4/1/2014 4:15:00  40.6561 -73.9531  B02512
23  4/1/2014 4:19:00  40.7250 -73.9844  B02512
24  4/1/2014 4:20:00  40.6950 -74.1783  B02512
25  4/1/2014 4:26:00  40.9859 -74.1578  B02512
26  4/1/2014 4:27:00  40.6879 -74.1814  B02512
27  4/1/2014 4:38:00  40.6878 -74.1816  B02512
28  4/1/2014 4:47:00  40.7234 -73.9974  B02512
29  4/1/2014 4:49:00  40.7336 -73.9900  B02512
..               ...      ...      ...     ...
69  4/1/2014 6:20:00  40.7599 -73.9944  B02512
70  4/1/2014 6:21:00  40.7531 -74.0039  B02512
71  4/1/2014 6:22:00  40.7791 -73.9623  B02512
72  4/1/2014 6:25:00  40.7382 -74.0033  B02512
73  4/1/2014 6:31:00  40.7391 -73.9989  B02512
74  4/1/2014 6:31:00  40.7806 -73.9820  B02512
75  4/1/2014 6:32:00  40.7322 -73.9863  B02512
76  4/1/2014 6:33:00  40.7703 -73.9660  B02512
77  4/1/2014 6:34:00  40.7221 -74.0018  B02512
78  4/1/2014 6:35:00  40.7588 -73.9895  B02512
79  4/1/2014 6:36:00  40.7677 -73.9656  B02512
80  4/1/2014 6:37:00  40.7404 -74.0076  B02512
81  4/1/2014 6:38:00  40.7679 -73.9599  B02512
82  4/1/2014 6:39:00  40.7694 -73.9852  B02512
83  4/1/2014 6:40:00  40.7858 -73.9546  B02512
84  4/1/2014 6:40:00  40.7742 -73.9491  B02512
85  4/1/2014 6:42:00  40.7703 -73.9500  B02512
86  4/1/2014 6:42:00  40.7614 -73.9997  B02512
87  4/1/2014 6:43:00  40.7930 -73.9749  B02512
88  4/1/2014 6:44:00  40.7231 -73.9442  B02512
89  4/1/2014 6:45:00  40.7874 -73.9545  B02512
90  4/1/2014 6:47:00  40.7689 -73.9812  B02512
91  4/1/2014 6:47:00  40.7789 -73.9557  B02512
92  4/1/2014 6:48:00  40.7271 -74.0054  B02512
93  4/1/2014 6:52:00  40.7877 -73.9730  B02512
94  4/1/2014 6:52:00  40.7255 -74.0092  B02512
95  4/1/2014 6:54:00  40.7653 -73.9723  B02512
96  4/1/2014 6:56:00  40.7644 -73.9769  B02512
97  4/1/2014 6:57:00  40.7726 -73.9532  B02512
98  4/1/2014 6:59:00  40.7898 -73.9661  B02512

